Name	Code	Aldrich Code	Function	Family	Side Group Type	M (g/mol)	p (g/mL)	polymer density
Glycidyl Methacrylate	GlyMA		Monomer	Methacrylic	Post-Functionalize	142.1546	1.07	
Glycosyloxyethyl methacrylate	GEMA		Monomer	Methacrylic	Hydroxyl	292.28	9.00E+99	
Hydroxyethyl methacrylate	HEMA	868-77-9 	Monomer	Methacrylic	Hydroxyl	130.14	1.073	
Hydroxypropyl Acrylate (HPA)	HPA	25584-83-2	Monomer	Acrylic		130.1	9.00E+99	
Hydroxypropyl methacrylate	HPMA	27813-02-1	Monomer	Methacrylic	Hydroxyl	144.168	1.066	
iso-Butyl Acrylate (IBA)	IBA	106-63-8	Monomer	Acrylic	Aliphatic	128.2	0.89	
iso-Decyl Acrylate (IDA)	IDA	1330-61-6	Monomer	Acrylic	Aliphatic	212.3	0.875	
isodecyl methacrylate	IDMA	29964-84-9 	Monomer	Methacrylic	Aliphatic	226.36	0.878	
Maleic Anhydride	MaH		Monomer	Maleic Acid	Ring	98.06	1.48	
Methacrylic acid	MAA	79-41-4 	Monomer	Methacrylic	Anionic	86.09	1.015	
methyl acrylate	MA	96-33-3	Monomer	Acrylic	Backbone	86.09	0.956	1.22
Methyl methacrylate	MMA	80-62-6 	Monomer	Methacrylic	Backbone	100.12	0.936	
Mn 2000 PEGA	PEGA2000	32171-39-4	Monomer	Acrylic	PEG	2000	1.09	
Mn 480 PEGA	PEGA480	32171-39-4	Monomer	Acrylic	PEG	480	1.09	
Mn 5000 PEGA	PEGA5000	32171-39-4	Monomer	Acrylic	PEG	5000	1.09	
N-[3-(Dimethylamino)propyl]methacrylamide	DMAPMA	5205-93-6	Monomer	Methacrylic	Cationic	170.25	0.94	
n-Hexyl Acrylate (HexA)	HEXA	2499-95-8	Monomer	Acrylic	Aliphatic	156.2	0.888	
NHS Methacrylate	NHSMA	38862-25-8	Monomer	Methacrylic	Post-Functionalize	183.16	9.00E+99	
PEGMA 1500	PEGMA1500	26915-72-0 	Monomer	Methacrylic	PEG	1500	9.00E+99	
PEGMA 300	PEGMA300	26915-72-0	Monomer	Methacrylic	PEG	300	1.05	
PEGMA 4000	PEGMA4000	26915-72-0	Monomer	Methacrylic	PEG	4000	9.00E+99	
PEGMA 500	PEGMA500	26915-72-0 	Monomer	Methacrylic	PEG	500	1.08	
Styrene	STY	100-42-5	Monomer	Styrenic	Aromatic	104.15	0.909	1.04
tert-Butyl Acrylate (TBA)	TBA	1663-39-4	Monomer	Acrylic	Aliphatic	128.2	0.875	
tert-Butyl methacrylate	TBMA	585-07-9	Monomer	Methacrylic	Aliphatic	142.2	0.875	
Triethylamine	TEA	121-44-8	Base	Amine	Aliphatic	101.19	0.7255	
Triethylene glycol methyl ether methacrylate	TeGMEMA	24493-59-2 	Monomer	Methacrylic	PEG	232.27	1.027	
Water	H2O		Solvent	Aqueous	Polar	18	1	
Cyanomethyl methyl(phenyl)carbamodithioate	RAFTCMC	76926-16-4	RAFT Agent			222.33	9.00E+99	
2-Cyano-2-propyl benzodithioate	RAFTCPB	201611-85-0	RAFT Agent			221.34	9.00E+99	
Ethyl 2-(phenylcarbonothioylthio)-2-phenylacetate	RAFTEPP	1150308-13-6	RAFT Agent			316.44	9.00E+99	
4-Cyano-4-(phenylcarbonothioylthio)pentanoic acid	RAFTCPP	201611-92-9	RAFT Agent			279.38	9.00E+99	
4-Cyano-4-[(dodecylsulfanylthiocarbonyl)sulfanyl]pentanoic acid	RAFTCDP	870196-80-8	RAFT Agent			403.67	9.00E+99	
Phthalimidomethyl butyl trithiocarbonate	RAFTPBT	19194-21-9	RAFT Agent			325.47	9.00E+99	
Methyl 2-[methyl(4-pyridinyl)carbamothioylthio]propionate	RAFTMMP	1158958-92-9	RAFT Agent			270.37	9.00E+99	
2-(Dodecylthiocarbonothioylthio)-2-methylpropionic acid	RAFTDMA	461642-78-4	RAFT Agent			364.63	9.00E+99	
Cyanomethyl dodecyl trithiocarbonate	RAFTCDT	796045-97-1	RAFT Agent			317.58	9.00E+99	
2-Cyano-2-propyl dodecyl trithiocarbonate	RAFTCPDT	870196-83-1	RAFT Agent			345.63	9.00E+99	
Trioxane	TriOx	110-88-3	Internal Standard	Organic	Cyclic	90.08	9.00E+99	
Lauryl Acrylate	LA	2156-97-0	Monomer	Organic	Aliphatic	240.38	0.873	0.95
"1,4-Dioxane"	DiOx		Solvent	Organic	Cyclic	88.11	1.03	
Toluene	Tol		Solvent	Organic	Aromatic	92.14	0.87	
MACRORAFT (select this for 2nd block extensions)	MACRORAFT		RAFT Agent					
"S,S-Dibenzyl trithiocarbonate"	RAFTSSDT	26504-29-0	RAFT Agent			290.47	9.00E+99	
"2,2'-Azobis[2-(2-imidazolin-2-yl)propane]dihydrochloride"	VA-044	27776-21-2	Initiator			323.27	9.00E+99	
"2,2'-Azobis(2-methylpropionamidine)dihydrochloride"	V-50	2997-92-4	Initiator			271.19	9.00E+99	
"2,2'-Azobis[N-(2-carboxyethyl)-2-methylpropionamidine]tetrahydrate"	VA-057	1041483-94-6	Initiator			414.46	9.00E+99	
"2,2'-Azobis[2-(2-imidazolin-2-yl)propane]"	VA-061	20858-12-2	Initiator			250.35	9.00E+99	
"2,2'-Azobis[2-methyl-N-(2-hydroxyethyl)propionamide]"	VA-086	61551-69-7	Initiator			288.35	9.00E+99	
"4,4'-Azobis(4-cyanovaleric acid)"	V-501	2638-94-0	Initiator			280.28	9.00E+99	
"2,2'-Azobis(4-methoxy-2,4-dimethylvaleronitrile)"	V-70	15545-97-8	Initiator			308.43	9.00E+99	
"2,2'-Azobis(2,4-dimethylvaleronitrile)"	V-65	11/8/19	Initiator			248.37	9.00E+99	
"Dimethyl 2,2'-azobis(2-methylpropionate)"	V-601	2589-57-3	Initiator			230.26	9.00E+99	
"2,2'-Azobis(2-methylbutyronitrile)"	V-59	13472-08-7	Initiator			192.26	9.00E+99	
"1,1'-Azobis(cyclohexane-1-carbonitrile)"	V-40	2094-98-6	Initiator			244.34	9.00E+99	
"2,2'-Azobis(N-butyl-2-methylpropionamide)"	VAm-110	195520-32-2	Initiator			312.46	9.00E+99	
1-Methyl-2-pyrrolidinone	NMP	872-50-4	Solvent			99.13	1.028	
Ethyl lactate	EL	97-64-3	Solvent			118.13	1.031	
Lauryl methacrylate	LMA	142-90-5	Monomer	Methacrylic		254.41	0.868	
"2,2,2-Trifluoroethanol"	TFE	75-89-8	Solvent	Organic		100.04	1.39	
